epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,204.912,0.63285,0.96631,0.60235,0.9382,0.92844,0.88218,0.93419,0.84432,0.93161,0.8852,0.93618,0.80072,0.44695,0.73615,0.5297,0.83244,0.0007129,0.0007129,0.0007129
31,211.688,0.63963,0.95113,0.60718,0.93387,0.92403,0.88194,0.93117,0.84419,0.92403,0.88194,0.929,0.78388,0.43755,0.85752,0.51001,0.82823,0.000703,0.000703,0.000703
32,218.466,0.65652,1.07191,0.64398,0.95471,0.96378,0.88417,0.93802,0.83391,0.95511,0.89124,0.94154,0.81589,0.49894,0.73216,0.50182,0.83275,0.0006931,0.0006931,0.0006931
33,225.313,0.64631,0.98414,0.61061,0.94028,0.95516,0.87915,0.93827,0.84524,0.95863,0.88218,0.9384,0.81004,0.44008,0.68875,0.49186,0.83581,0.0006832,0.0006832,0.0006832
34,232.233,0.61256,0.91823,0.57391,0.92582,0.95795,0.87009,0.94616,0.83665,0.96139,0.87311,0.94555,0.81365,0.49081,0.71634,0.50596,0.82945,0.0006733,0.0006733,0.0006733
35,239.018,0.64714,0.97815,0.5754,0.93354,0.96784,0.90937,0.95013,0.8688,0.97105,0.91239,0.95218,0.82496,0.42211,0.67161,0.43329,0.81918,0.0006634,0.0006634,0.0006634
36,245.721,0.61744,0.89481,0.5767,0.93274,0.97121,0.89124,0.94642,0.83882,0.97121,0.89124,0.9504,0.81154,0.49064,0.72609,0.45658,0.83419,0.0006535,0.0006535,0.0006535
37,252.436,0.65939,0.96495,0.58107,0.95026,0.95732,0.88105,0.94514,0.85325,0.95732,0.88105,0.94951,0.80956,0.43763,0.72819,0.47107,0.82407,0.0006436,0.0006436,0.0006436
38,259.047,0.62344,0.96409,0.59464,0.94074,0.964,0.88997,0.94664,0.85379,0.964,0.88997,0.94933,0.8132,0.45198,0.70233,0.43745,0.82575,0.0006337,0.0006337,0.0006337
39,265.703,0.65642,0.97629,0.60702,0.94177,0.94959,0.91061,0.94648,0.87054,0.95277,0.91425,0.94847,0.82173,0.42187,0.71855,0.42712,0.81974,0.0006238,0.0006238,0.0006238
40,272.323,0.64988,0.96685,0.60572,0.93481,0.93168,0.91239,0.94447,0.86035,0.93662,0.90937,0.94327,0.81837,0.41245,0.73587,0.44008,0.82065,0.0006139,0.0006139,0.0006139
41,278.887,0.61811,0.92098,0.57219,0.93785,0.93899,0.86707,0.93874,0.84891,0.93899,0.86707,0.94132,0.80937,0.4347,0.72557,0.472,0.83429,0.000604,0.000604,0.000604
42,285.46,0.6005,0.92974,0.55137,0.92269,0.91626,0.90634,0.93515,0.86039,0.91428,0.90332,0.93833,0.8193,0.40516,0.67257,0.47063,0.81896,0.0005941,0.0005941,0.0005941
43,292.05,0.63106,0.93405,0.58057,0.93074,0.93941,0.91541,0.94642,0.85263,0.94109,0.91705,0.948,0.81633,0.45246,0.71908,0.43729,0.82866,0.0005842,0.0005842,0.0005842
44,298.629,0.59401,0.88405,0.53861,0.92471,0.93384,0.91239,0.94936,0.86601,0.93909,0.91541,0.94817,0.82982,0.39819,0.68827,0.41308,0.82074,0.0005743,0.0005743,0.0005743
45,305.228,0.59851,0.85531,0.54572,0.92428,0.93179,0.90794,0.94894,0.85636,0.94101,0.91569,0.9518,0.8243,0.43847,0.71027,0.42534,0.82412,0.0005644,0.0005644,0.0005644
