epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,28.9421,0.67603,0.47913,0.98398,0.93811,0.90909,0.90243,0.77241,0.74028,0.50628,1.05954,0.0007624,0.0007624,0.0007624
1,1.66935,1.08772,2.92358,1.19643,0.0043,0.95238,0.51384,0.37675,0.92022,2.98344,1.08646,0.08515,0.00015,0.00015
2,2.98899,1.01216,1.42436,1.1607,0.01262,0.82143,0.4514,0.31662,1.23221,3.45525,1.23892,0.0693069,0.000306931,0.000306931
3,4.26426,0.97019,1.13571,1.087,0.64557,0.60714,0.68226,0.55941,0.99955,3.48562,1.13804,0.0534607,0.000460694,0.000460694
4,5.52336,0.93532,1.01038,1.07979,0.87703,0.60714,0.81663,0.64838,0.92798,1.83597,1.13107,0.0376113,0.000611289,0.000611289
5,6.77478,0.95281,0.95872,1.10358,0.90089,0.64933,0.81548,0.63405,0.98741,1.82641,1.13517,0.0217587,0.000758716,0.000758716
6,8.01997,0.95456,0.94408,1.08162,0.91424,0.79762,0.88652,0.70997,0.9239,1.01795,1.15877,0.00590297,0.000902975,0.000902975
7,9.28605,0.90074,0.86143,1.0902,0.90153,0.763,0.87888,0.72918,0.89144,1.10108,1.1413,0.0009406,0.0009406,0.0009406
8,10.5526,0.8961,0.87696,1.06217,0.93055,0.79757,0.88271,0.70503,0.93615,1.03013,1.18853,0.0009307,0.0009307,0.0009307
9,11.801,0.90853,0.84764,1.08936,0.93478,0.85318,0.92242,0.74663,0.88281,0.7605,1.16445,0.0009208,0.0009208,0.0009208
10,13.0737,0.84825,0.81478,1.06712,0.89981,0.85714,0.92374,0.73967,0.86696,0.73929,1.15946,0.0009109,0.0009109,0.0009109
11,14.3375,0.86541,0.8207,1.08917,0.89427,0.8056,0.87518,0.68895,0.90958,0.93898,1.17051,0.000901,0.000901,0.000901
12,15.6074,0.87598,0.81358,1.08633,0.94298,0.78749,0.89931,0.73258,0.82278,0.80309,1.10176,0.0008911,0.0008911,0.0008911
13,16.865,0.82823,0.80847,1.05297,0.94193,0.84524,0.91114,0.74178,0.82922,0.76401,1.06132,0.0008812,0.0008812,0.0008812
14,18.1311,0.86731,0.80829,1.06577,0.92199,0.83333,0.91667,0.74056,0.85434,0.71336,1.07861,0.0008713,0.0008713,0.0008713
15,19.3997,0.84108,0.72313,1.04742,0.95314,0.80952,0.91381,0.74083,0.84595,0.7375,1.09282,0.0008614,0.0008614,0.0008614
16,20.6693,0.84189,0.74001,1.01704,0.88784,0.84524,0.89828,0.73009,0.85887,0.78425,1.09704,0.0008515,0.0008515,0.0008515
17,21.9374,0.84738,0.75333,1.08704,0.92347,0.82143,0.90974,0.73915,0.81368,0.7704,1.07365,0.0008416,0.0008416,0.0008416
18,23.2194,0.79091,0.687,1.02086,0.9338,0.83965,0.91031,0.73069,0.83342,0.7382,1.0773,0.0008317,0.0008317,0.0008317
19,24.4859,0.76565,0.64763,1.00238,0.92626,0.84524,0.90613,0.72746,0.84494,0.76907,1.1018,0.0008218,0.0008218,0.0008218
